Gender	Age	Major	Religion	Cafeteria	Expenditure	Study_hours	CGPA	Motivate_learning	Supportive	Achievements	Comfortable_classmates	Comfortable_ faculty	Participate	Friends	After_school	Overall_academic_experience	Rate_ Ashesi
Female	19	CS	Christian	Munchies	100	4	3.62	Others	Somewhat supportive	Supporting your colleague(s) to excel in academics	Very comfortable	Very comfortable	Yes	10	Sleep	Satisfied	Above average
Male	20	BA	Christian	Akornor	200	3	2.77	Writing a lot of quizzes	Somewhat supportive	Doing the right thing even when no one is watching	Somewhat comfortable	Very comfortable	Yes	20	Sleep	Satisfied	Excellent
Female	19	BA	Christian	Munchies	210	4	3.15	Others	Neutral	Doing the right thing even when no one is watching	Somewhat comfortable	Very comfortable	Yes	0	Sleep	Very dissatisfied 	Average
Female	19	BA	Christian	BigBen	100	3	3.89	Writing a lot of quizzes	Neutral	Making the Dean’s list	Neither comfortable nor uncomfortable	Neither comfortable nor uncomfortable	Yes	20	Sleep	Satisfied	Average
Female	19	CS	Christian	Munchies	240	3	3.0	Writing a lot of quizzes	Somewhat supportive	Supporting your colleague(s) to excel in academics	Somewhat comfortable	Somewhat uncomfortable	Yes	15	Sleep	Very dissatisfied 	Average
Male	19	CS	Christian	BigBen	100	4	2.5	Completing various assignments	 Extremely Supportive	Doing the right thing even when no one is watching	Very comfortable	Very comfortable	Yes	0	Others	Satisfied	Above average
Male	19	CS	Christian	Munchies	400	4	3.4	Others	Neutral	Doing the right thing even when no one is watching	Very comfortable	Very comfortable	No	50	Play video game	Satisfied	Above average
Female	18	CS	Christian	Munchies	90	3	2.56	Teaching your colleagues	Somewhat supportive	Doing the right thing even when no one is watching	Neither comfortable nor uncomfortable	Somewhat uncomfortable	No	14	Sleep	Satisfied	Above average
Female	20	BA	Christian	BigBen	400	4	2.75	Others	Neutral	Others	Very comfortable	Very comfortable	Yes	10	Others	Neither satisfied nor dissatisfied	Above average
Female	18	CS	Christian	Munchies	420	2	3.7	Completing various assignments	 Extremely Supportive	Doing the right thing even when no one is watching	Somewhat comfortable	Very uncomfortable	No	5	Sleep	Satisfied	Above average
Female	17	BA	Christian	Munchies	250	2 	2.20	 Asking a lot of questions in class	Neutral	Doing the right thing even when no one is watching	Neither comfortable nor uncomfortable	Somewhat comfortable	No	10	Sleep	 Dissatisfied	Average
Male	18	BA	Christian	Munchies	100	3	3.47	Others	 Extremely Supportive	Getting a perfect GPA at the end of the semester	Very comfortable	Very comfortable	Yes	90	Watch TV/Movie	Neither satisfied nor dissatisfied	Above average
Female	19	BA	Christian	Munchies	60	5	2.88	Writing a lot of quizzes	Neutral	Others	Very comfortable	Somewhat comfortable	Yes	0	Watch YouTube Videos	 Dissatisfied	Average
Female	19	BA	Christian	BigBen	400	5	2.15	Completing various assignments	 Extremely Supportive	Supporting your colleague(s) to excel in academics	Very comfortable	Somewhat uncomfortable	Yes	0	Sleep	Neither satisfied nor dissatisfied	Average
Male	18	BA	Christian	Munchies	70	3	3.04	Others	Somewhat supportive	Doing the right thing even when no one is watching	Very comfortable	Somewhat comfortable	Yes	12	Others	Neither satisfied nor dissatisfied	Below average
Male	19	MIS	Christian	Munchies	100	4	2.8	Others	Somewhat supportive	Doing the right thing even when no one is watching	Somewhat comfortable	Somewhat comfortable	No	12	Sleep	Neither satisfied nor dissatisfied	Average
Male	19	CS	Christian	Munchies	250	3	2.58	Others	Somewhat supportive	Supporting your colleague(s) to excel in academics	Very comfortable	Somewhat uncomfortable	No	70	Watch TV/Movie	Neither satisfied nor dissatisfied	Above average
Female	19	MIS	Christian	Munchies	315	3	2.5	Others	Neutral	Doing the right thing even when no one is watching	Somewhat uncomfortable	Somewhat uncomfortable	No	4	Watch YouTube Videos	 Dissatisfied	Above average
Male	19	BA	Christian	Munchies	150	2	3.53	Completing various assignments	Somewhat supportive	Supporting your colleague(s) to excel in academics	Somewhat comfortable	Somewhat comfortable	No	10	Others	Satisfied	Excellent
Female	19	BA	Christian	Munchies	100	6	3.03	Others	 Extremely Supportive	Supporting your colleague(s) to excel in academics	Very comfortable	Neither comfortable nor uncomfortable	Yes	0	Sleep	Neither satisfied nor dissatisfied	Excellent
Female	23	CS	Christian	BigBen	150	5	3.37	Completing various assignments	 Extremely Supportive	Representing the school at national or international level	Very comfortable	Neither comfortable nor uncomfortable	No	10	Sleep	Neither satisfied nor dissatisfied	Average
Female	19	MIS	Christian	BigBen	200	5	2.5	Others	 Extremely Supportive	Doing the right thing even when no one is watching	Very comfortable	Very comfortable	Yes	15	Others	Very satisfied	Above average
Male	23	BA	Christian	BigBen	400	4	3.0	Completing various assignments	 Extremely Supportive	Supporting your colleague(s) to excel in academics	Very comfortable	Very comfortable	Yes	2	Sleep	 Dissatisfied	Above average
Male	19	CS	Christian	Munchies	40	3	3.3	Writing a lot of quizzes	Neutral	Getting a perfect GPA at the end of the semester	Somewhat comfortable	Neither comfortable nor uncomfortable	Yes	12	Others	Neither satisfied nor dissatisfied	Average
Male	19	BA	Christian	Munchies	450	14	3.53	Teaching your colleagues	Somewhat supportive	Making the Dean’s list	Neither comfortable nor uncomfortable	Somewhat comfortable	Yes	10	Sleep	 Dissatisfied	Average
Male	19	BA	Christian	Munchies	136	4	2.63	Completing various assignments	 Extremely Supportive	Doing the right thing even when no one is watching	Very comfortable	Very comfortable	Yes	7	Sleep	Neither satisfied nor dissatisfied	Above average
Female	21	BA	Christian	BigBen	80	5	3.12	Others	Somewhat supportive	Representing the school at national or international level	Somewhat comfortable	Somewhat uncomfortable	No	10	Sleep	Neither satisfied nor dissatisfied	Above average
Male	20	CS	Islam	BigBen	240	7	3.12	Completing various assignments	Somewhat supportive	Others	Neither comfortable nor uncomfortable	Neither comfortable nor uncomfortable	No	12	Others	Neither satisfied nor dissatisfied	Above average
Male	19	MIS	Christian	Akornor	150	4	2.94	Completing various assignments	Somewhat supportive	Others	Somewhat comfortable	Neither comfortable nor uncomfortable	No	10	Play video game	Neither satisfied nor dissatisfied	Average
Male	20	CS	Christian	BigBen	100	4	3.78	Teaching your colleagues	Somewhat supportive	Supporting your colleague(s) to excel in academics	Very comfortable	Neither comfortable nor uncomfortable	No	25	Others	Satisfied	Excellent
Female	22	CS	Christian	Munchies	420	14	3.94	 Asking a lot of questions in class	 Extremely Supportive	Making the Dean’s list	Very comfortable	Very comfortable	Yes	5	Watch YouTube Videos	Satisfied	Above average
Female	18	BA	Christian	Munchies	25	7	3.73	 Asking a lot of questions in class	Somewhat supportive	Doing the right thing even when no one is watching	Somewhat comfortable	Very comfortable	No	150	Sleep	Satisfied	Above average
Male	20	BA	Christian	BigBen	30	4	3.5	Teaching your colleagues	Somewhat supportive	Making the Dean’s list	Somewhat comfortable	Very comfortable	Yes	30	 Play a sport	Satisfied	Above average
Female	21	BA	Christian	Munchies	50	2	2.68	 Asking a lot of questions in class	Neutral	Others	Neither comfortable nor uncomfortable	Very comfortable	No	0	Sleep	 Dissatisfied	Below average
Male	20	BA	Christian	BigBen	350	3	3.71	 Asking a lot of questions in class	Somewhat supportive	Doing the right thing even when no one is watching	Somewhat comfortable	Very comfortable	Yes	5	Others	Satisfied	Excellent
Female	21	MIS	Christian	Munchies	40	4	2.59	Others	Not supportive	Others	Very comfortable	Very comfortable	Yes	3	Watch TV/Movie	Neither satisfied nor dissatisfied	Above average
Male	19	BA	Christian	BigBen	50	5	3.1	Others	 Extremely Supportive	Doing the right thing even when no one is watching	Somewhat comfortable	Somewhat uncomfortable	Yes	40	Sleep	Neither satisfied nor dissatisfied	Average
Female	19	BA	Christian	Munchies	200	2	2.83 	Writing a lot of quizzes	Somewhat supportive	Supporting your colleague(s) to excel in academics	Somewhat comfortable	Somewhat comfortable	Yes	3	Sleep	Neither satisfied nor dissatisfied	Below average
Female	19	BA	Christian	BigBen	420	7	3.13	Writing a lot of quizzes	Neutral	Making the Dean’s list	Somewhat comfortable	Somewhat comfortable	Yes	9	Sleep	Neither satisfied nor dissatisfied	Above average
Female	20	BA	Christian	BigBen	150	4	3.6	Writing a lot of quizzes	Neutral	Representing the school at national or international level	Very comfortable	Very comfortable	Yes	4	Watch YouTube Videos	Neither satisfied nor dissatisfied	Average
Female	18	MIS	Christian	Munchies	140	1	3.00	Teaching your colleagues	Somewhat supportive	Doing the right thing even when no one is watching	Very comfortable	Somewhat comfortable	Yes	30	Sleep	Satisfied	Excellent
Male	22	CS	Christian	Akornor	315	5	3.59	 Asking a lot of questions in class	Neutral	Supporting your colleague(s) to excel in academics	Neither comfortable nor uncomfortable	Somewhat comfortable	Yes	25	Watch YouTube Videos	Satisfied	Above average
Female	20	BA	Christian	BigBen	200	5	3.1	Others	Somewhat supportive	Doing the right thing even when no one is watching	Very comfortable	Somewhat comfortable	Yes	15	Sleep	Satisfied	Above average
Female	20	BA	Christian	BigBen	415	3	3.4	Writing a lot of quizzes	Extremely not supportive	Supporting your colleague(s) to excel in academics	Very uncomfortable	Somewhat uncomfortable	Yes	8	Sleep	 Dissatisfied	Above average
Female	19	BA	Christian	BigBen	300	4	3.33	Writing a lot of quizzes	Neutral	Getting a perfect GPA at the end of the semester	Very comfortable	Somewhat comfortable	No	5	Sleep	Neither satisfied nor dissatisfied	Average
Female	20	MIS	Christian	BigBen	400	2	3.1	Writing a lot of quizzes	 Extremely Supportive	Getting a perfect GPA at the end of the semester	Very comfortable	Somewhat comfortable	Yes	15	Watch TV/Movie	Satisfied	Above average
Female	19	MIS	Christian	BigBen	100	3	3.53	Others	Somewhat supportive	Making the Dean’s list	Somewhat comfortable	Somewhat comfortable	Yes	10	Sleep	Satisfied	Above average
Female	18	MIS	Christian	BigBen	100	5	3.28	Writing a lot of quizzes	 Extremely Supportive	Others	Neither comfortable nor uncomfortable	Neither comfortable nor uncomfortable	Yes	10	Sleep	Satisfied	Average
Female	19	CS	Christian	BigBen	120	1	2.8	Others	Neutral	Doing the right thing even when no one is watching	Somewhat uncomfortable	Somewhat uncomfortable	No	8	Watch TV/Movie	Neither satisfied nor dissatisfied	Average
Male	23	CS	Christian	Munchies	350	3	3.82	Others	Neutral	Others	Very comfortable	Very comfortable	Yes	20	Others	Neither satisfied nor dissatisfied	Average
Female	21	BA	Christian	Akornor	420	5	2.25	Others	Neutral	Getting a perfect GPA at the end of the semester	Somewhat comfortable	Very comfortable	Yes	5	Sleep	Satisfied	Average
Female	21	CS	Christian	Munchies	420	5	3.6	Others	 Extremely Supportive	Doing the right thing even when no one is watching	Very comfortable	Very comfortable	Yes	5	Others	Satisfied	Above average
Male	22	BA	Christian	Munchies	150	2	3	Teaching your colleagues	Somewhat supportive	Others	Somewhat comfortable	Neither comfortable nor uncomfortable	Yes	0	Watch YouTube Videos	Satisfied	Average
Female	20	BA	Christian	Akornor	200	3	2.8	 Asking a lot of questions in class	Neutral	Doing the right thing even when no one is watching	Somewhat comfortable	Very comfortable	No	5	Watch TV/Movie	 Dissatisfied	Average
Male	20	CS	Christian	Munchies	250	3	3.1	Writing a lot of quizzes	Neutral	Others	Somewhat comfortable	Somewhat uncomfortable	Yes	10	Play video game	 Dissatisfied	Average
Male	21	CS	Others	Munchies	420	2	4.0	 Asking a lot of questions in class	 Extremely Supportive	Doing the right thing even when no one is watching	Very comfortable	Very comfortable	Yes	20	Watch YouTube Videos	Satisfied	Excellent
Female	19	BA	Christian	Akornor	250	3	2.41	Others	 Extremely Supportive	Doing the right thing even when no one is watching	Somewhat comfortable	Somewhat uncomfortable	Yes	20	Sleep	Neither satisfied nor dissatisfied	Average
Female	21	MIS	Christian	Munchies	280	10	3	Completing various assignments	 Extremely Supportive	Making the Dean’s list	Very comfortable	Very comfortable	Yes	25	Sleep	Satisfied	Average
Male	21	CS	Christian	BigBen	280	2	3.4	Writing a lot of quizzes	Somewhat supportive	Others	Very comfortable	Somewhat comfortable	Yes	30	Watch YouTube Videos	Very satisfied	Above average
Male	20	BA	Christian	Munchies	300	1	2.36	Teaching your colleagues	Neutral	Supporting your colleague(s) to excel in academics	Somewhat comfortable	Somewhat uncomfortable	Yes	7	Watch YouTube Videos	Neither satisfied nor dissatisfied	Above average
Male	20	BA	Christian	Akornor	270	3	3.2	Teaching your colleagues	Neutral	Making the Dean’s list	Very comfortable	Somewhat comfortable	No	15	Watch YouTube Videos	Neither satisfied nor dissatisfied	Average
Male	21	CS	Christian	Akornor	420	7	3.38	Teaching your colleagues	 Extremely Supportive	Supporting your colleague(s) to excel in academics	Very comfortable	Very comfortable	Yes	5	Play video game	Neither satisfied nor dissatisfied	Average
Female	20	MIS	Christian	Munchies	420	5	3.71	 Asking a lot of questions in class	Somewhat supportive	Representing the school at national or international level	Very comfortable	Very comfortable	Yes	10	Watch TV/Movie	Satisfied	Above average
Female	19	MIS	Christian	BigBen	100	2	3.20	Others	 Extremely Supportive	Others	Neither comfortable nor uncomfortable	Somewhat uncomfortable	No	10	Watch TV/Movie	Satisfied	Excellent
Male	19	CS	Christian	Munchies	230	3	3.25	Teaching your colleagues	Somewhat supportive	Doing the right thing even when no one is watching	Very uncomfortable	Very comfortable	Yes	12	 Play a sport	Neither satisfied nor dissatisfied	Average
Male	19	BA	Christian	Munchies	300	2	2.33	Others	 Extremely Supportive	Others	Somewhat comfortable	Neither comfortable nor uncomfortable	No	5	Sleep	 Dissatisfied	Above average
Female	21	BA	Christian	BigBen	150	6	2.33	Writing a lot of quizzes	Somewhat supportive	Others	Somewhat comfortable	Very comfortable	Yes	5	Sleep	Neither satisfied nor dissatisfied	Average
Male	19	BA	Christian	BigBen	92	3	3.37	Others	Somewhat supportive	Making the Dean’s list	Somewhat comfortable	Very comfortable	Yes	25	Watch TV/Movie	Satisfied	Above average
Female	19	CS	Christian	BigBen	420	5	2.73	Completing various assignments	Neutral	Doing the right thing even when no one is watching	Very comfortable	Very comfortable	Yes	8	Sleep	Neither satisfied nor dissatisfied	Average
Female	18	BA	Christian	BigBen	80	3	12	Others	Somewhat supportive	Others	Neither comfortable nor uncomfortable	Somewhat comfortable	Yes	10	Others	Satisfied	Excellent
Female	18	BA	Christian	BigBen	60	5	3.50	Teaching your colleagues	 Extremely Supportive	Getting a perfect GPA at the end of the semester	Neither comfortable nor uncomfortable	Very comfortable	Yes	6	Sleep	Satisfied	Excellent
Female	19	BA	Christian	BigBen	80	2	3.63	Teaching your colleagues	Neutral	Doing the right thing even when no one is watching	Very comfortable	Very comfortable	Yes	10	Sleep	 Dissatisfied	Above average
Male	19	BA	Christian	Munchies	150	2	2.8	Others	Neutral	Others	Neither comfortable nor uncomfortable	Neither comfortable nor uncomfortable	No	10	Play video game	Neither satisfied nor dissatisfied	Average
Female	22	CS	Islam	BigBen	420	2	3.5	Others	Neutral	Others	Somewhat comfortable	Somewhat comfortable	No	100	Sleep	Neither satisfied nor dissatisfied	Average
Female	19	MIS	Christian	Munchies	100	5	3.2	Writing a lot of quizzes	Somewhat supportive	Others	Very comfortable	Somewhat comfortable	No	20	Watch TV/Movie	Neither satisfied nor dissatisfied	Average
Male	19	CS	Christian	Akornor	100	4	3.4	Completing various assignments	Somewhat supportive	Supporting your colleague(s) to excel in academics	Somewhat comfortable	Very comfortable	No	15	Watch TV/Movie	Satisfied	Above average
Male	19	CS	Christian	Akornor	200	15	3.04	Others	Somewhat supportive	Supporting your colleague(s) to excel in academics	Somewhat comfortable	Somewhat comfortable	No	5	Sleep	Neither satisfied nor dissatisfied	Average
Male	19	CS	Christian	Munchies	120	2	3.2	Completing various assignments	Somewhat supportive	Supporting your colleague(s) to excel in academics	Somewhat uncomfortable	Somewhat uncomfortable	No	10	Watch YouTube Videos	Satisfied	Above average
Male	19	BA	Christian	Munchies	300	2	3.67	Others	Somewhat supportive	Making the Dean’s list	Very comfortable	Very comfortable	Yes	100	 Play a sport	Satisfied	Above average
Female	22	BA	Christian	Munchies	250	3	2.79	Others	 Extremely Supportive	Supporting your colleague(s) to excel in academics	Somewhat comfortable	Very comfortable	Yes	15	Watch TV/Movie	Satisfied	Excellent
Female	19	CS	Christian	Munchies	400	3	3.59	Completing various assignments	Neutral	Representing the school at national or international level	Very comfortable	Somewhat comfortable	Yes	12	 Play a sport	 Dissatisfied	Average
Male	19	CS	Christian	BigBen	200	3	3.6	Completing various assignments	Somewhat supportive	Making the Dean’s list	Very comfortable	Very comfortable	Yes	10	Sleep	Neither satisfied nor dissatisfied	Average
Male	16	CS	Christian	Munchies	140	1	3.8	 Asking a lot of questions in class	 Extremely Supportive	Getting a perfect GPA at the end of the semester	Very comfortable	Very comfortable	Yes	6	 Play a sport	Neither satisfied nor dissatisfied	Average
Male	21	CS	Christian	BigBen	420	3	3.625	Teaching your colleagues	Neutral	Getting a perfect GPA at the end of the semester	Somewhat uncomfortable	Very comfortable	No	3	Watch YouTube Videos	Satisfied	Excellent
Male	21	CS	Christian	BigBen	250	6	3.76	 Asking a lot of questions in class	Neutral	Representing the school at national or international level	Somewhat comfortable	Somewhat comfortable	Yes	1	Watch TV/Movie	Satisfied	Above average
Female	19	BA	Christian	BigBen	100	4	3.37	Writing a lot of quizzes	Somewhat supportive	Doing the right thing even when no one is watching	Very comfortable	Very comfortable	Yes	10	Sleep	Satisfied	Excellent
Female	20	CS	Christian	BigBen	120	4	3	Writing a lot of quizzes	Somewhat supportive	Representing the school at national or international level	Very comfortable	Very comfortable	No	1000	Watch TV/Movie	Neither satisfied nor dissatisfied	Below average
Female	19	MIS	Christian	Munchies	300	5	3.85	Writing a lot of quizzes	Neutral	Making the Dean’s list	Somewhat uncomfortable	Somewhat uncomfortable	No	6	Sleep	Neither satisfied nor dissatisfied	Average
Female	19	BA	Christian	BigBen	30	3	3.32	Others	Somewhat supportive	Representing the school at national or international level	Very comfortable	Very comfortable	Yes	2	Others	Satisfied	Above average
Female	22	BA	Christian	Munchies	420	1	2.89	Writing a lot of quizzes	Neutral	Doing the right thing even when no one is watching	Very comfortable	Very comfortable	Yes	1	Watch YouTube Videos	Neither satisfied nor dissatisfied	Average
Female	19	CS	Christian	Munchies	50	2 	3.93	Others	Neutral	Making the Dean’s list	Very comfortable	Very comfortable	Yes	10	Sleep	Very satisfied	Above average
Male	21	BA	Christian	BigBen	60	4	3.41	 Asking a lot of questions in class	Neutral	Getting a perfect GPA at the end of the semester	Somewhat comfortable	Very comfortable	Yes	8	Others	Very satisfied	Excellent
Male	20	CS	Christian	Munchies	280	3	3.88	Teaching your colleagues	Somewhat supportive	Supporting your colleague(s) to excel in academics	Very comfortable	Somewhat comfortable	Yes	3	Others	Very satisfied	Excellent
Male	19	BA	Christian	Akornor	10	20	2.74	Writing a lot of quizzes	Somewhat supportive	Doing the right thing even when no one is watching	Somewhat comfortable	Very comfortable	No	10	Sleep	Satisfied	Average
Male	18	CS	Christian	Munchies	420	5	3.45	Others	 Extremely Supportive	Doing the right thing even when no one is watching	Somewhat comfortable	Very comfortable	Yes	8	Others	 Dissatisfied	Above average
Female	19	BA	Christian	Akornor	100	4	3.8	Others	Somewhat supportive	Making the Dean’s list	Somewhat uncomfortable	Somewhat uncomfortable	No	25	Sleep	Satisfied	Average
Male	19	CS	Christian	Munchies	240	5	3.33	Completing various assignments	 Extremely Supportive	Supporting your colleague(s) to excel in academics	Very comfortable	Very comfortable	Yes	100	 Play a sport	Satisfied	Above average
Female	19	CS	Christian	BigBen	420	4	2.6	Completing various assignments	Neutral	Doing the right thing even when no one is watching	Somewhat comfortable	Somewhat comfortable	Yes	10	Watch TV/Movie	Satisfied	Above average
Male	18	MIS	Christian	Munchies	70	4	3.3	Completing various assignments	Neutral	Doing the right thing even when no one is watching	Somewhat comfortable	Somewhat comfortable	No	10	Watch TV/Movie	Satisfied	Above average
Male	19	CS	Christian	BigBen	215	1.5	3.41	Others	 Extremely Supportive	Others	Very comfortable	Very comfortable	Yes	47	Play video game	Neither satisfied nor dissatisfied	Above average
Male	19	CS	Christian	Akornor	420	7	2.87	Others	Neutral	Getting a perfect GPA at the end of the semester	Neither comfortable nor uncomfortable	Very comfortable	Yes	3	Others	Neither satisfied nor dissatisfied	Average
Male	21	CS	Christian	Akornor	420	8	3.29	Others	Somewhat supportive	Getting a perfect GPA at the end of the semester	Very comfortable	Very comfortable	Yes	0	Others	 Dissatisfied	Average
Female	20	CS	Christian	Munchies	400	2	3.94	Completing various assignments	Neutral	Supporting your colleague(s) to excel in academics	Somewhat comfortable	Somewhat uncomfortable	Yes	20	 Play a sport	Satisfied	Excellent
Male	20	CS	Christian	Akornor	250	2	3.5	Teaching your colleagues	Somewhat supportive	Supporting your colleague(s) to excel in academics	Very comfortable	Somewhat comfortable	Yes	8	Others	Satisfied	Above average
Female	19	MIS	Christian	Munchies	420	5	3.30	Teaching your colleagues	Somewhat supportive	Getting a perfect GPA at the end of the semester	Neither comfortable nor uncomfortable	Somewhat uncomfortable	No	10	Sleep	Satisfied	Above average
Male	19	BA	Christian	Akornor	60 	5	3.50	Teaching your colleagues	Somewhat supportive	Doing the right thing even when no one is watching	Very comfortable	Somewhat comfortable	Yes	8	Sleep	Neither satisfied nor dissatisfied	Above average
Female	19	BA	Christian	BigBen	280	6	3.0	Others	Somewhat supportive	Others	Neither comfortable nor uncomfortable	Neither comfortable nor uncomfortable	No	4	Sleep	 Dissatisfied	Average
Female	22	BA	Others	Akornor	140 	1 	3.0	 Asking a lot of questions in class	Neutral	Representing the school at national or international level	Very comfortable	Somewhat comfortable	Yes	5 	Watch YouTube Videos	Satisfied	Above average
Male	22	CS	Christian	Akornor	360	4	3.44	Teaching your colleagues	Neutral	Getting a perfect GPA at the end of the semester	Neither comfortable nor uncomfortable	Somewhat comfortable	Yes	15	Play video game	Satisfied	Above average
Male	19	CS	Islam	Akornor	250	6	3.29	Completing various assignments	 Extremely Supportive	Supporting your colleague(s) to excel in academics	Somewhat comfortable	Somewhat uncomfortable	No	10	Play video game	Satisfied	Above average
Male	22	CS	Christian	BigBen	60	8	3.82	Completing various assignments	Neutral	Supporting your colleague(s) to excel in academics	Somewhat comfortable	Somewhat comfortable	Yes	6	Watch YouTube Videos	Neither satisfied nor dissatisfied	Average
Female	20	CS	Christian	Munchies	300	4	3.53	Writing a lot of quizzes	 Extremely Supportive	Making the Dean’s list	Very comfortable	Very comfortable	Yes	30	 Play a sport	Neither satisfied nor dissatisfied	Average
Male	19	CS	Christian	BigBen	210	4	3.76	Others	Somewhat supportive	Making the Dean’s list	Very comfortable	Neither comfortable nor uncomfortable	No	20	Others	Satisfied	Above average
